2022-02-10 13:34:14.355393 Humidity: 21.5 %rH, Temperature: 25.73 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:35:16.436523 Humidity: 21.5 %rH, Temperature: 25.73 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:36:19.984244 Humidity: 21.5 %rH, Temperature: 25.73 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:37:22.078247 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:38:24.114940 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:39:26.196365 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:40:28.398855 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:41:30.486737 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:42:32.542962 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:43:36.138272 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:44:38.306114 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:45:40.357544 Humidity: 21.5 %rH, Temperature: 25.76 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:46:42.550035 Humidity: 21.5 %rH, Temperature: 25.72 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:47:44.604255 Humidity: 21.5 %rH, Temperature: 25.72 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:48:46.731900 Humidity: 21.5 %rH, Temperature: 25.72 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:49:48.831888 Humidity: 21.5 %rH, Temperature: 25.72 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:50:51.517079 Humidity: 21.5 %rH, Temperature: 25.72 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:51:54.088514 Humidity: 21.5 %rH, Temperature: 25.66 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:52:56.166187 Humidity: 21.5 %rH, Temperature: 25.66 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:53:59.304113 Humidity: 21.5 %rH, Temperature: 25.66 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:55:01.447858 Humidity: 21.5 %rH, Temperature: 25.66 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:56:03.496218 Humidity: 21.5 %rH, Temperature: 25.66 *C, Radon STA: 30 Bq/m3, Radon LTA: 30 Bq/m3
2022-02-10 13:57:05.621022 Humidity: 21.5 %rH, Temperature: 25.6 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 13:58:07.828700 Humidity: 21.5 %rH, Temperature: 25.6 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 13:59:10.350233 Humidity: 21.5 %rH, Temperature: 25.6 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:00:12.499072 Humidity: 21.5 %rH, Temperature: 25.6 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:01:14.618268 Humidity: 21.5 %rH, Temperature: 25.6 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:02:16.717177 Humidity: 21.5 %rH, Temperature: 25.55 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:03:18.814436 Humidity: 21.5 %rH, Temperature: 25.55 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:04:20.866087 Humidity: 21.5 %rH, Temperature: 25.55 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:05:22.960133 Humidity: 21.5 %rH, Temperature: 25.55 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:06:25.569038 Humidity: 21.5 %rH, Temperature: 25.55 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:07:28.164212 Humidity: 22.0 %rH, Temperature: 25.5 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:08:30.261776 Humidity: 22.0 %rH, Temperature: 25.5 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:09:32.391289 Humidity: 22.0 %rH, Temperature: 25.5 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:10:34.493550 Humidity: 22.0 %rH, Temperature: 25.5 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:11:36.594622 Humidity: 22.0 %rH, Temperature: 25.45 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:12:38.729125 Humidity: 22.0 %rH, Temperature: 25.45 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:13:41.303947 Humidity: 22.0 %rH, Temperature: 25.45 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:14:43.426347 Humidity: 22.0 %rH, Temperature: 25.45 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:15:45.970083 Humidity: 22.0 %rH, Temperature: 25.45 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:16:48.035095 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:17:50.084757 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:18:52.683699 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:19:54.780967 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:20:56.898633 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:21:59.481164 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:23:01.667411 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:24:04.290012 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:25:06.414938 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:26:08.489721 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:27:10.582516 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:28:12.791090 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:29:14.928858 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:30:17.073761 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:31:19.794948 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:32:21.929092 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:33:23.997827 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:34:26.536739 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:35:28.602790 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
